wavenumber,intensity
100.00,0.0019
104.00,0.0027
108.00,0.0054
112.00,0.0095
116.00,0.0060
120.00,0.0008
124.00,0.0000
128.00,0.0072
132.00,0.0099
136.00,0.0100
140.00,0.0198
144.00,0.0264
148.00,0.0453
152.00,0.0626
156.00,0.0709
160.00,0.0492
164.00,0.0344
168.00,0.0230
172.00,0.0121
176.00,0.0170
180.00,0.0074
184.00,0.0110
188.00,0.0040
192.00,0.0043
196.00,0.0077
200.00,0.0048
204.00,0.0042
208.00,0.0043
212.00,0.0000
216.00,0.0023
220.00,0.0008
224.00,0.0042
228.00,0.0023
232.00,0.0041
236.00,0.0044
240.00,0.0052
244.00,0.0060
248.00,0.0055
252.00,0.0060
256.00,0.0095
260.00,0.0180
264.00,0.0216
268.00,0.0315
272.00,0.0492
276.00,0.0664
280.00,0.0972
284.00,0.0927
288.00,0.0687
292.00,0.0465
296.00,0.0342
300.00,0.0182
304.00,0.0145
308.00,0.0143
312.00,0.0044
316.00,0.0079
320.00,0.0048
324.00,0.0022
328.00,0.0044
332.00,0.0051
336.00,0.0004
340.00,0.0037
344.00,0.0029
348.00,0.0000
352.00,0.0063
356.00,0.0048
360.00,0.0000
364.00,0.0000
368.00,0.0035
372.00,0.0000
376.00,0.0000
380.00,0.0041
384.00,0.0011
388.00,0.0064
392.00,0.0020
396.00,0.0014
400.00,0.0090
404.00,0.0003
408.00,0.0000
412.00,0.0014
416.00,0.0039
420.00,0.0000
424.00,0.0000
428.00,0.0019
432.00,0.0000
436.00,0.0000
440.00,0.0029
444.00,0.0000
448.00,0.0000
452.00,0.0060
456.00,0.0000
460.00,0.0000
464.00,0.0000
468.00,0.0008
472.00,0.0000
476.00,0.0003
480.00,0.0007
484.00,0.0003
488.00,0.0008
492.00,0.0000
496.00,0.0018
500.00,0.0000
504.00,0.0000
508.00,0.0044
512.00,0.0000
516.00,0.0010
520.00,0.0000
524.00,0.0000
528.00,0.0019
532.00,0.0000
536.00,0.0016
540.00,0.0016
544.00,0.0038
548.00,0.0000
552.00,0.0035
556.00,0.0054
560.00,0.0051
564.00,0.0022
568.00,0.0019
572.00,0.0087
576.00,0.0069
580.00,0.0000
584.00,0.0033
588.00,0.0024
592.00,0.0009
596.00,0.0012
600.00,0.0021
604.00,0.0034
608.00,0.0014
612.00,0.0018
616.00,0.0048
620.00,0.0019
624.00,0.0025
628.00,0.0039
632.00,0.0058
636.00,0.0047
640.00,0.0024
644.00,0.0020
648.00,0.0000
652.00,0.0025
