wavenumber,intensity
100.00,0.0024
104.00,0.0017
108.00,0.0000
112.00,0.0000
116.00,0.0000
120.00,0.0000
124.00,0.0000
128.00,0.0000
132.00,0.0000
136.00,0.0005
140.00,0.0000
144.00,0.0016
148.00,0.0044
152.00,0.0000
156.00,0.0000
160.00,0.0000
164.00,0.0000
168.00,0.0000
172.00,0.0005
176.00,0.0012
180.00,0.0000
184.00,0.0024
188.00,0.0014
192.00,0.0041
196.00,0.0005
200.00,0.0009
204.00,0.0045
208.00,0.0000
212.00,0.0020
216.00,0.0041
220.00,0.0037
224.00,0.0035
228.00,0.0027
232.00,0.0000
236.00,0.0041
240.00,0.0000
244.00,0.0000
248.00,0.0000
252.00,0.0025
256.00,0.0065
260.00,0.0054
264.00,0.0052
268.00,0.0031
272.00,0.0011
276.00,0.0000
280.00,0.0000
284.00,0.0011
288.00,0.0070
292.00,0.0028
296.00,0.0020
300.00,0.0029
304.00,0.0000
308.00,0.0000
312.00,0.0027
316.00,0.0047
320.00,0.0000
324.00,0.0030
328.00,0.0000
332.00,0.0030
336.00,0.0065
340.00,0.0005
344.00,0.0000
348.00,0.0115
352.00,0.0019
356.00,0.0070
360.00,0.0000
364.00,0.0000
368.00,0.0000
372.00,0.0068
376.00,0.0000
380.00,0.0000
384.00,0.0031
388.00,0.0053
392.00,0.0077
396.00,0.0072
400.00,0.0137
404.00,0.0252
408.00,0.0311
412.00,0.0554
416.00,0.0627
420.00,0.0522
424.00,0.0331
428.00,0.0253
432.00,0.0159
436.00,0.0168
440.00,0.0095
444.00,0.0155
448.00,0.0092
452.00,0.0046
456.00,0.0074
460.00,0.0006
464.00,0.0125
468.00,0.0085
472.00,0.0166
476.00,0.0245
480.00,0.0236
484.00,0.0369
488.00,0.0583
492.00,0.0815
496.00,0.0797
500.00,0.0513
504.00,0.0297
508.00,0.0228
512.00,0.0055
516.00,0.0102
520.00,0.0000
524.00,0.0103
528.00,0.0000
532.00,0.0064
536.00,0.0005
540.00,0.0130
544.00,0.0000
548.00,0.0017
552.00,0.0091
556.00,0.0044
560.00,0.0034
564.00,0.0018
568.00,0.0030
572.00,0.0000
576.00,0.0023
580.00,0.0030
584.00,0.0063
588.00,0.0043
592.00,0.0079
596.00,0.0003
600.00,0.0129
604.00,0.0121
608.00,0.0213
612.00,0.0246
616.00,0.0301
620.00,0.0312
624.00,0.0187
628.00,0.0151
632.00,0.0123
636.00,0.0098
640.00,0.0021
644.00,0.0099
648.00,0.0048
652.00,0.0093
656.00,0.0162
660.00,0.0155
664.00,0.0264
668.00,0.0361
672.00,0.0431
676.00,0.0278
680.00,0.0156
684.00,0.0066
688.00,0.0182
692.00,0.0100
696.00,0.0119
700.00,0.0033
704.00,0.0082
708.00,0.0017
712.00,0.0000
716.00,0.0059
720.00,0.0014
724.00,0.0032
728.00,0.0037
732.00,0.0042
736.00,0.0011
740.00,0.0000
744.00,0.0000
748.00,0.0039
752.00,0.0090
756.00,0.0016
760.00,0.0068
764.00,0.0000
768.00,0.0072
772.00,0.0000
776.00,0.0000
780.00,0.0006
784.00,0.0028
788.00,0.0000
792.00,0.0055
796.00,0.0000
800.00,0.0023
804.00,0.0000
808.00,0.0027
812.00,0.0000
816.00,0.0000
820.00,0.0000
824.00,0.0055
828.00,0.0000
832.00,0.0087
836.00,0.0004
840.00,0.0031
844.00,0.0000
848.00,0.0000
852.00,0.0059
856.00,0.0085
860.00,0.0000
864.00,0.0074
868.00,0.0040
872.00,0.0059
876.00,0.0029
880.00,0.0096
884.00,0.0000
888.00,0.0068
892.00,0.0104
896.00,0.0079
900.00,0.0043
904.00,0.0077
