wavenumber,intensity
100.00,0.0030
104.00,0.0001
108.00,0.0010
112.00,0.0045
116.00,0.0000
120.00,0.0018
124.00,0.0000
128.00,0.0028
132.00,0.0000
136.00,0.0000
140.00,0.0032
144.00,0.0000
148.00,0.0000
152.00,0.0056
156.00,0.0000
160.00,0.0000
164.00,0.0000
168.00,0.0035
172.00,0.0000
176.00,0.0050
180.00,0.0005
184.00,0.0003
188.00,0.0000
192.00,0.0009
196.00,0.0059
200.00,0.0022
204.00,0.0000
208.00,0.0006
212.00,0.0034
216.00,0.0021
220.00,0.0012
224.00,0.0039
228.00,0.0033
232.00,0.0000
236.00,0.0000
240.00,0.0041
244.00,0.0084
248.00,0.0005
252.00,0.0028
256.00,0.0076
260.00,0.0090
264.00,0.0042
268.00,0.0082
272.00,0.0071
276.00,0.0036
280.00,0.0000
284.00,0.0037
288.00,0.0083
292.00,0.0094
296.00,0.0077
300.00,0.0081
304.00,0.0076
308.00,0.0098
312.00,0.0177
316.00,0.0178
320.00,0.0293
324.00,0.0377
328.00,0.0575
332.00,0.1023
336.00,0.1811
340.00,0.3809
344.00,0.4976
348.00,0.2671
352.00,0.1496
356.00,0.1036
360.00,0.0893
364.00,0.1042
368.00,0.1443
372.00,0.2603
376.00,0.5707
380.00,1.0155
384.00,0.5773
388.00,0.2559
392.00,0.1365
396.00,0.0928
400.00,0.0734
404.00,0.0598
408.00,0.0560
412.00,0.0590
416.00,0.0790
420.00,0.1191
424.00,0.1791
428.00,0.2908
432.00,0.2868
436.00,0.1854
440.00,0.1052
444.00,0.0596
448.00,0.0510
452.00,0.0290
456.00,0.0272
460.00,0.0192
464.00,0.0158
468.00,0.0137
472.00,0.0096
476.00,0.0103
480.00,0.0094
484.00,0.0099
488.00,0.0070
492.00,0.0069
496.00,0.0094
500.00,0.0021
504.00,0.0047
508.00,0.0055
512.00,0.0069
516.00,0.0033
520.00,0.0035
524.00,0.0020
528.00,0.0066
532.00,0.0017
536.00,0.0046
540.00,0.0020
544.00,0.0023
548.00,0.0000
552.00,0.0021
556.00,0.0018
560.00,0.0000
564.00,0.0000
568.00,0.0002
572.00,0.0000
576.00,0.0000
580.00,0.0059
584.00,0.0000
588.00,0.0000
592.00,0.0000
596.00,0.0049
600.00,0.0039
604.00,0.0020
608.00,0.0013
612.00,0.0000
616.00,0.0001
620.00,0.0000
624.00,0.0029
628.00,0.0030
632.00,0.0036
636.00,0.0070
640.00,0.0029
644.00,0.0027
648.00,0.0038
652.00,0.0000
656.00,0.0007
660.00,0.0000
664.00,0.0054
668.00,0.0000
672.00,0.0060
676.00,0.0038
680.00,0.0000
684.00,0.0000
688.00,0.0000
692.00,0.0037
696.00,0.0000
700.00,0.0000
704.00,0.0000
708.00,0.0056
712.00,0.0054
716.00,0.0000
720.00,0.0014
724.00,0.0023
728.00,0.0000
732.00,0.0000
736.00,0.0000
740.00,0.0016
744.00,0.0000
748.00,0.0000
752.00,0.0013
756.00,0.0000
760.00,0.0000
764.00,0.0000
768.00,0.0000
772.00,0.0047
776.00,0.0000
780.00,0.0036
784.00,0.0000
788.00,0.0000
792.00,0.0000
796.00,0.0000
800.00,0.0026
804.00,0.0000
808.00,0.0000
812.00,0.0032
816.00,0.0000
820.00,0.0011
824.00,0.0000
828.00,0.0018
832.00,0.0000
836.00,0.0027
840.00,0.0021
844.00,0.0070
848.00,0.0000
852.00,0.0000
856.00,0.0000
860.00,0.0000
864.00,0.0014
868.00,0.0000
872.00,0.0048
876.00,0.0008
880.00,0.0000
884.00,0.0000
888.00,0.0000
892.00,0.0007
896.00,0.0000
900.00,0.0041
904.00,0.0000
908.00,0.0000
912.00,0.0030
916.00,0.0000
920.00,0.0002
