wavenumber,intensity
100.00,0.1226
104.00,0.1500
108.00,0.2255
112.00,0.2907
116.00,0.4008
120.00,0.6281
124.00,0.9091
128.00,1.0369
132.00,0.8500
136.00,0.5816
140.00,0.4017
144.00,0.2937
148.00,0.1429
152.00,0.1554
156.00,0.0915
160.00,0.0848
164.00,0.0758
168.00,0.0732
172.00,0.0899
176.00,0.1075
180.00,0.0752
184.00,0.1283
188.00,0.0835
192.00,0.1435
196.00,0.2120
200.00,0.2716
204.00,0.3362
208.00,0.3297
212.00,0.2516
216.00,0.1857
220.00,0.0943
224.00,0.0860
228.00,0.0682
232.00,0.0774
236.00,0.0607
240.00,0.0616
244.00,0.0314
248.00,0.0512
252.00,0.0890
256.00,0.1324
260.00,0.0906
264.00,0.2162
268.00,0.1922
272.00,0.1254
276.00,0.0769
280.00,0.0416
284.00,0.0848
288.00,0.0941
292.00,0.0857
296.00,0.0688
300.00,0.0387
304.00,0.0000
308.00,0.0266
312.00,0.0463
316.00,0.0000
320.00,0.0391
324.00,0.0408
328.00,0.0496
332.00,0.0000
336.00,0.0113
340.00,0.0196
344.00,0.0000
348.00,0.0891
352.00,0.0247
356.00,0.0527
360.00,0.0390
364.00,0.0991
368.00,0.0974
372.00,0.0849
376.00,0.0107
380.00,0.0938
384.00,0.1343
388.00,0.1722
392.00,0.1501
396.00,0.2315
400.00,0.1273
404.00,0.1365
408.00,0.1823
412.00,0.1625
416.00,0.2363
420.00,0.2057
424.00,0.2151
428.00,0.2706
432.00,0.3167
436.00,0.4092
440.00,0.6146
444.00,0.8497
448.00,1.2776
452.00,1.9827
456.00,3.6556
460.00,6.9189
464.00,10.0514
468.00,6.9139
472.00,3.5815
476.00,2.0109
480.00,1.2670
484.00,0.8336
488.00,0.5736
492.00,0.4015
496.00,0.3002
500.00,0.2879
504.00,0.2522
508.00,0.1800
512.00,0.1239
516.00,0.1598
520.00,0.0772
524.00,0.0797
528.00,0.1078
532.00,0.0117
536.00,0.0825
540.00,0.0464
544.00,0.0611
548.00,0.0503
552.00,0.0542
556.00,0.0650
560.00,0.0179
564.00,0.0803
568.00,0.0567
572.00,0.0578
576.00,0.0653
580.00,0.0521
584.00,0.0520
588.00,0.0274
592.00,0.0000
596.00,0.0184
600.00,0.0000
604.00,0.0000
608.00,0.0270
612.00,0.0013
616.00,0.0000
620.00,0.0000
624.00,0.0243
628.00,0.0264
632.00,0.0548
636.00,0.0143
640.00,0.0456
644.00,0.0562
648.00,0.0484
652.00,0.0000
656.00,0.0508
660.00,0.0244
664.00,0.0274
668.00,0.0267
672.00,0.0285
676.00,0.0289
680.00,0.0123
684.00,0.0000
688.00,0.0358
692.00,0.0273
696.00,0.0906
700.00,0.0424
704.00,0.0408
708.00,0.0027
712.00,0.0063
716.00,0.0171
720.00,0.0000
724.00,0.0220
728.00,0.0086
732.00,0.0000
736.00,0.0000
740.00,0.0252
744.00,0.0006
748.00,0.0000
752.00,0.0023
756.00,0.0641
760.00,0.0083
764.00,0.0128
768.00,0.0000
772.00,0.0612
776.00,0.0406
780.00,0.0469
784.00,0.0189
788.00,0.0485
792.00,0.0373
796.00,0.0516
800.00,0.0373
804.00,0.0061
808.00,0.0849
812.00,0.0000
816.00,0.0343
820.00,0.0264
824.00,0.0000
828.00,0.0384
832.00,0.0102
836.00,0.0003
840.00,0.0270
844.00,0.0000
848.00,0.0504
852.00,0.0183
856.00,0.0000
860.00,0.0000
864.00,0.0000
868.00,0.0382
872.00,0.0037
876.00,0.0000
880.00,0.0540
884.00,0.0000
888.00,0.0000
892.00,0.0000
896.00,0.0216
900.00,0.0000
904.00,0.0000
908.00,0.0000
912.00,0.0254
916.00,0.0277
920.00,0.0000
924.00,0.0082
928.00,0.0000
932.00,0.0000
936.00,0.0446
940.00,0.0072
944.00,0.0725
948.00,0.0000
952.00,0.0205
956.00,0.0000
960.00,0.0201
964.00,0.0029
968.00,0.0000
972.00,0.0000
976.00,0.0952
980.00,0.0010
984.00,0.0000
988.00,0.0000
992.00,0.0239
996.00,0.0000
1000.00,0.0446
1004.00,0.0340
1008.00,0.0000
1012.00,0.0000
1016.00,0.0000
1020.00,0.0000
1024.00,0.0000
1028.00,0.0421
1032.00,0.0544
1036.00,0.0000
1040.00,0.0000
1044.00,0.0000
1048.00,0.0000
1052.00,0.0000
1056.00,0.0000
1060.00,0.0605
1064.00,0.0174
1068.00,0.0620
1072.00,0.0330
1076.00,0.1133
1080.00,0.0759
1084.00,0.0584
1088.00,0.1370
1092.00,0.0379
1096.00,0.0000
1100.00,0.0337
1104.00,0.0202
1108.00,0.0489
1112.00,0.0000
1116.00,0.0354
1120.00,0.0351
1124.00,0.0000
1128.00,0.0119
1132.00,0.0000
1136.00,0.0759
1140.00,0.0000
1144.00,0.0000
1148.00,0.0000
1152.00,0.0000
1156.00,0.0033
1160.00,0.0262
1164.00,0.0000
1168.00,0.0000
1172.00,0.0000
1176.00,0.0000
1180.00,0.0851
1184.00,0.0335
1188.00,0.0000
1192.00,0.0000
1196.00,0.0000
1200.00,0.0012
1204.00,0.0028
1208.00,0.0000
1212.00,0.0000
1216.00,0.0443
1220.00,0.0151
1224.00,0.0000
1228.00,0.0000
1232.00,0.0000
1236.00,0.0000
1240.00,0.0048
1244.00,0.0000
1248.00,0.0000
1252.00,0.0000
1256.00,0.0232
1260.00,0.0000
1264.00,0.0000
1268.00,0.0203
1272.00,0.0238
1276.00,0.0000
1280.00,0.0179
1284.00,0.0000
1288.00,0.0101
1292.00,0.0000
1296.00,0.0260
1300.00,0.0371
1304.00,0.0201
1308.00,0.0177
1312.00,0.0000
1316.00,0.0087
1320.00,0.0001
1324.00,0.0000
1328.00,0.0000
1332.00,0.0025
1336.00,0.0132
1340.00,0.0000
1344.00,0.0000
1348.00,0.0377
1352.00,0.0000
1356.00,0.0317
1360.00,0.0061
1364.00,0.0000
1368.00,0.0000
1372.00,0.0000
1376.00,0.0210
1380.00,0.0112
1384.00,0.0000
1388.00,0.0000
1392.00,0.0098
1396.00,0.0294
1400.00,0.0000
1404.00,0.0132
1408.00,0.0000
1412.00,0.0027
1416.00,0.0000
1420.00,0.0095
1424.00,0.0000
1428.00,0.0200
1432.00,0.0000
1436.00,0.0114
1440.00,0.0000
1444.00,0.0102
1448.00,0.0000
1452.00,0.0363
1456.00,0.0000
1460.00,0.0000
1464.00,0.0076
1468.00,0.0445
1472.00,0.0089
1476.00,0.0000
1480.00,0.0000
1484.00,0.0000
1488.00,0.0000
1492.00,0.0513
1496.00,0.0192
1500.00,0.0000
1504.00,0.0614
1508.00,0.0000
1512.00,0.0000
1516.00,0.0448
1520.00,0.0000
1524.00,0.0000
1528.00,0.0071
1532.00,0.0258
1536.00,0.0303
1540.00,0.0000
1544.00,0.0605
1548.00,0.0289
1552.00,0.0000
1556.00,0.0000
1560.00,0.0000
1564.00,0.0042
1568.00,0.0000
1572.00,0.0000
1576.00,0.0248
1580.00,0.0114
1584.00,0.0000
1588.00,0.0225
1592.00,0.0415
1596.00,0.0000
1600.00,0.0000
1604.00,0.0287
1608.00,0.0220
1612.00,0.0072
1616.00,0.0353
1620.00,0.0000
1624.00,0.0000
1628.00,0.0000
1632.00,0.0041
1636.00,0.0000
1640.00,0.0000
1644.00,0.0000
1648.00,0.0000
1652.00,0.0000
1656.00,0.0114
1660.00,0.0242
1664.00,0.0000
1668.00,0.0000
1672.00,0.0000
1676.00,0.0163
1680.00,0.0030
1684.00,0.0482
1688.00,0.0000
1692.00,0.0112
1696.00,0.0137
1700.00,0.0000
1704.00,0.0179
1708.00,0.0000
1712.00,0.0639
1716.00,0.0000
1720.00,0.0279
1724.00,0.0000
1728.00,0.0349
1732.00,0.0000
1736.00,0.0051
1740.00,0.0019
1744.00,0.0334
1748.00,0.0000
1752.00,0.0000
1756.00,0.0000
1760.00,0.0058
1764.00,0.0000
1768.00,0.0234
1772.00,0.0308
1776.00,0.0000
1780.00,0.0000
1784.00,0.0418
1788.00,0.0328
1792.00,0.0000
1796.00,0.0636
1800.00,0.0000
1804.00,0.0000
1808.00,0.0000
1812.00,0.0326
1816.00,0.0000
1820.00,0.0589
1824.00,0.0000
1828.00,0.0289
1832.00,0.0166
1836.00,0.0000
1840.00,0.0327
1844.00,0.0000
1848.00,0.0410
1852.00,0.0000
1856.00,0.0000
1860.00,0.0228
1864.00,0.0321
1868.00,0.0234
1872.00,0.0603
1876.00,0.0327
1880.00,0.0388
1884.00,0.0000
1888.00,0.0035
1892.00,0.0172
1896.00,0.0000
1900.00,0.0093
1904.00,0.0130
1908.00,0.0256
1912.00,0.0000
1916.00,0.0000
1920.00,0.0000
1924.00,0.0000
1928.00,0.0354
1932.00,0.0000
1936.00,0.0239
1940.00,0.0000
1944.00,0.0000
1948.00,0.0000
1952.00,0.0347
1956.00,0.0323
1960.00,0.0102
1964.00,0.0000
1968.00,0.0000
1972.00,0.0000
1976.00,0.0000
1980.00,0.0000
1984.00,0.0000
1988.00,0.0000
1992.00,0.0457
1996.00,0.0050
2000.00,0.0423
2004.00,0.0000
2008.00,0.0000
2012.00,0.0000
2016.00,0.0141
2020.00,0.0166
2024.00,0.0532
2028.00,0.0000
2032.00,0.0030
2036.00,0.0000
2040.00,0.0000
2044.00,0.0000
2048.00,0.0000
2052.00,0.0409
2056.00,0.0003
2060.00,0.0000
2064.00,0.0045
2068.00,0.0067
2072.00,0.0000
2076.00,0.0345
2080.00,0.0000
2084.00,0.0000
2088.00,0.0202
2092.00,0.0000
2096.00,0.0110
2100.00,0.0390
2104.00,0.0138
2108.00,0.0000
2112.00,0.0000
2116.00,0.0372
2120.00,0.0091
2124.00,0.0000
2128.00,0.0134
2132.00,0.0218
2136.00,0.0000
2140.00,0.0000
2144.00,0.0045
2148.00,0.0000
2152.00,0.0000
2156.00,0.0391
2160.00,0.0000
2164.00,0.0580
2168.00,0.0566
2172.00,0.0000
2176.00,0.0000
2180.00,0.0105
2184.00,0.0000
2188.00,0.0000
2192.00,0.0000
2196.00,0.0224
2200.00,0.0000
2204.00,0.0550
2208.00,0.0089
2212.00,0.0000
2216.00,0.0437
2220.00,0.0190
2224.00,0.0113
2228.00,0.0000
2232.00,0.0546
2236.00,0.0245
2240.00,0.0000
2244.00,0.0000
2248.00,0.0114
2252.00,0.0000
2256.00,0.0000
2260.00,0.0000
2264.00,0.0086
2268.00,0.0387
2272.00,0.0086
2276.00,0.0244
2280.00,0.0000
2284.00,0.0000
2288.00,0.0039
2292.00,0.0260
2296.00,0.0036
2300.00,0.0243
2304.00,0.0000
2308.00,0.0109
2312.00,0.0126
2316.00,0.0000
2320.00,0.0054
2324.00,0.0000
2328.00,0.0000
2332.00,0.0289
2336.00,0.0000
2340.00,0.0000
2344.00,0.0000
2348.00,0.0043
2352.00,0.0454
2356.00,0.0000
2360.00,0.0143
2364.00,0.0414
2368.00,0.0162
2372.00,0.0322
2376.00,0.0000
2380.00,0.0233
2384.00,0.0000
2388.00,0.0324
2392.00,0.0000
2396.00,0.0000
2400.00,0.0382
2404.00,0.0000
2408.00,0.0000
2412.00,0.0025
2416.00,0.0000
2420.00,0.0401
2424.00,0.0000
2428.00,0.0000
2432.00,0.0105
2436.00,0.0000
2440.00,0.0000
2444.00,0.0000
2448.00,0.0129
2452.00,0.0000
2456.00,0.0195
2460.00,0.0000
2464.00,0.0000
2468.00,0.0012
2472.00,0.0000
2476.00,0.0197
2480.00,0.0000
2484.00,0.0000
2488.00,0.0000
2492.00,0.0000
2496.00,0.0017
2500.00,0.0000
2504.00,0.0000
2508.00,0.0000
2512.00,0.0685
2516.00,0.0085
2520.00,0.0230
2524.00,0.0065
2528.00,0.0236
2532.00,0.0000
2536.00,0.0000
2540.00,0.0080
2544.00,0.0000
2548.00,0.0000
2552.00,0.0000
2556.00,0.0000
2560.00,0.0000
2564.00,0.0000
2568.00,0.0000
2572.00,0.0144
2576.00,0.0468
2580.00,0.0545
2584.00,0.0030
2588.00,0.0269
2592.00,0.0274
2596.00,0.0000
2600.00,0.0000
2604.00,0.0010
2608.00,0.0000
2612.00,0.0000
2616.00,0.0184
2620.00,0.0000
2624.00,0.0011
2628.00,0.0373
2632.00,0.0110
2636.00,0.0158
2640.00,0.0273
2644.00,0.0521
2648.00,0.0047
2652.00,0.0370
2656.00,0.0000
2660.00,0.0000
2664.00,0.0096
2668.00,0.0000
2672.00,0.0000
2676.00,0.0000
2680.00,0.0000
2684.00,0.0033
2688.00,0.0000
2692.00,0.0000
2696.00,0.0436
2700.00,0.0000
2704.00,0.0000
2708.00,0.0410
2712.00,0.0165
2716.00,0.0294
2720.00,0.0000
2724.00,0.0226
2728.00,0.0000
2732.00,0.0000
2736.00,0.0180
2740.00,0.0000
2744.00,0.0231
2748.00,0.0719
2752.00,0.0000
2756.00,0.0000
2760.00,0.0337
2764.00,0.0000
2768.00,0.0349
2772.00,0.0000
2776.00,0.0100
2780.00,0.0000
2784.00,0.0043
2788.00,0.0100
2792.00,0.0000
2796.00,0.0000
2800.00,0.0421
2804.00,0.0089
2808.00,0.0033
2812.00,0.0000
2816.00,0.0108
2820.00,0.0000
2824.00,0.0000
2828.00,0.0392
2832.00,0.0046
2836.00,0.0256
2840.00,0.0000
2844.00,0.0414
2848.00,0.0105
2852.00,0.0145
2856.00,0.0166
2860.00,0.0000
2864.00,0.0000
2868.00,0.0000
2872.00,0.0490
2876.00,0.0391
2880.00,0.0000
2884.00,0.0000
2888.00,0.0312
2892.00,0.0000
2896.00,0.0000
2900.00,0.0381
2904.00,0.0144
2908.00,0.0000
2912.00,0.0000
2916.00,0.0044
2920.00,0.0145
2924.00,0.0047
2928.00,0.0000
2932.00,0.0000
2936.00,0.0089
2940.00,0.0000
2944.00,0.0000
2948.00,0.0377
2952.00,0.0000
2956.00,0.0000
2960.00,0.0000
2964.00,0.0163
2968.00,0.0249
2972.00,0.0165
2976.00,0.0276
2980.00,0.0133
2984.00,0.0104
2988.00,0.0143
2992.00,0.0000
2996.00,0.0357
3000.00,0.0000
3004.00,0.0000
3008.00,0.0256
3012.00,0.0556
3016.00,0.0000
3020.00,0.0000
3024.00,0.0000
3028.00,0.0000
3032.00,0.0015
3036.00,0.0000
3040.00,0.0000
3044.00,0.0000
3048.00,0.0000
3052.00,0.0000
3056.00,0.0000
3060.00,0.0000
3064.00,0.0367
3068.00,0.0154
3072.00,0.0000
3076.00,0.0000
3080.00,0.0000
3084.00,0.0000
3088.00,0.0000
3092.00,0.0227
3096.00,0.0000
3100.00,0.0141
3104.00,0.0159
3108.00,0.0414
3112.00,0.0000
3116.00,0.0523
3120.00,0.0382
3124.00,0.0173
3128.00,0.0716
3132.00,0.0062
3136.00,0.0247
3140.00,0.0000
3144.00,0.0341
3148.00,0.0051
3152.00,0.0000
3156.00,0.0636
3160.00,0.0000
3164.00,0.0003
3168.00,0.0000
3172.00,0.0000
3176.00,0.0160
3180.00,0.0222
3184.00,0.0107
3188.00,0.0000
3192.00,0.0303
3196.00,0.0000
3200.00,0.0000
3204.00,0.0182
3208.00,0.0170
3212.00,0.0000
3216.00,0.0743
3220.00,0.0000
3224.00,0.0000
3228.00,0.0000
3232.00,0.0427
3236.00,0.0000
3240.00,0.0000
3244.00,0.0000
3248.00,0.0000
3252.00,0.0000
3256.00,0.0000
3260.00,0.0213
3264.00,0.0307
3268.00,0.0000
3272.00,0.0072
3276.00,0.0237
3280.00,0.0000
3284.00,0.0000
3288.00,0.0000
3292.00,0.0000
3296.00,0.0031
3300.00,0.0000
3304.00,0.0190
3308.00,0.0000
3312.00,0.0124
3316.00,0.0000
3320.00,0.0000
3324.00,0.0000
3328.00,0.0000
3332.00,0.0000
3336.00,0.0129
3340.00,0.0225
3344.00,0.0048
3348.00,0.0515
3352.00,0.0000
3356.00,0.0157
3360.00,0.0000
3364.00,0.0071
3368.00,0.0000
3372.00,0.0335
3376.00,0.0053
3380.00,0.0358
3384.00,0.0000
3388.00,0.0000
3392.00,0.0000
3396.00,0.0000
3400.00,0.0000
3404.00,0.0000
3408.00,0.0000
3412.00,0.0000
3416.00,0.0000
3420.00,0.0057
3424.00,0.0263
3428.00,0.0000
3432.00,0.0001
3436.00,0.0000
3440.00,0.0141
3444.00,0.0000
3448.00,0.0000
3452.00,0.0000
3456.00,0.0007
3460.00,0.0000
3464.00,0.0155
3468.00,0.0000
3472.00,0.0013
3476.00,0.0000
3480.00,0.0242
3484.00,0.0208
3488.00,0.0259
3492.00,0.0669
3496.00,0.0000
3500.00,0.0362
3504.00,0.0000
3508.00,0.0119
3512.00,0.0110
3516.00,0.0080
3520.00,0.0198
3524.00,0.0000
3528.00,0.0013
3532.00,0.0161
3536.00,0.0525
3540.00,0.0000
3544.00,0.0000
3548.00,0.0000
3552.00,0.0028
3556.00,0.0053
3560.00,0.0028
3564.00,0.0356
3568.00,0.0293
3572.00,0.0000
3576.00,0.0000
3580.00,0.0000
3584.00,0.0000
3588.00,0.0000
3592.00,0.0000
3596.00,0.0000
3600.00,0.0000
3604.00,0.0000
3608.00,0.0000
3612.00,0.0202
3616.00,0.0000
3620.00,0.0000
3624.00,0.0163
3628.00,0.0000
3632.00,0.0065
3636.00,0.0201
3640.00,0.0127
3644.00,0.0076
3648.00,0.0000
3652.00,0.0205
3656.00,0.0053
3660.00,0.0000
3664.00,0.0000
3668.00,0.0000
3672.00,0.0000
3676.00,0.0000
3680.00,0.0000
3684.00,0.0401
3688.00,0.0000
3692.00,0.0237
3696.00,0.0000
3700.00,0.0000
3704.00,0.0402
3708.00,0.0175
3712.00,0.0000
3716.00,0.0313
3720.00,0.0000
3724.00,0.0000
3728.00,0.0201
3732.00,0.0000
3736.00,0.0336
3740.00,0.0229
3744.00,0.0000
3748.00,0.0000
3752.00,0.0085
3756.00,0.0000
3760.00,0.0000
3764.00,0.0241
3768.00,0.0096
3772.00,0.0000
3776.00,0.0053
3780.00,0.0000
3784.00,0.0000
3788.00,0.0000
3792.00,0.0087
3796.00,0.0000
3800.00,0.0002
3804.00,0.0000
3808.00,0.0000
3812.00,0.0000
3816.00,0.0000
3820.00,0.0000
3824.00,0.0000
3828.00,0.0201
3832.00,0.0747
3836.00,0.0138
3840.00,0.0000
3844.00,0.0000
3848.00,0.0000
3852.00,0.0000
3856.00,0.0153
3860.00,0.0177
3864.00,0.0000
3868.00,0.0090
3872.00,0.0348
3876.00,0.0527
3880.00,0.0000
3884.00,0.0000
3888.00,0.0017
3892.00,0.0000
3896.00,0.0000
3900.00,0.0000
3904.00,0.0000
3908.00,0.0000
3912.00,0.0000
3916.00,0.0000
3920.00,0.0228
3924.00,0.0000
3928.00,0.0000
3932.00,0.0000
3936.00,0.0171
3940.00,0.0000
3944.00,0.0000
3948.00,0.0228
3952.00,0.0000
3956.00,0.0000
3960.00,0.0098
3964.00,0.0101
3968.00,0.0000
3972.00,0.0000
3976.00,0.0000
3980.00,0.0000
3984.00,0.0000
3988.00,0.0000
3992.00,0.0000
3996.00,0.0000
4000.00,0.0000
