wavenumber,intensity
100.00,0.1304
104.00,0.1029
108.00,0.2128
112.00,0.2766
116.00,0.4216
120.00,0.5399
124.00,0.8435
128.00,1.0058
132.00,0.9036
136.00,0.5929
140.00,0.3991
144.00,0.3113
148.00,0.2411
152.00,0.2325
156.00,0.1752
160.00,0.1625
164.00,0.0966
168.00,0.1073
172.00,0.1202
176.00,0.0697
180.00,0.0726
184.00,0.1360
188.00,0.0833
192.00,0.1053
196.00,0.1403
200.00,0.2466
204.00,0.3580
208.00,0.3463
212.00,0.3333
216.00,0.1572
220.00,0.0989
224.00,0.0915
228.00,0.1110
232.00,0.0511
236.00,0.0630
240.00,0.0611
244.00,0.0434
248.00,0.0601
252.00,0.0384
256.00,0.0222
260.00,0.1293
264.00,0.2169
268.00,0.1792
272.00,0.1151
276.00,0.1295
280.00,0.1846
284.00,0.1065
288.00,0.1060
292.00,0.0789
296.00,0.0852
300.00,0.0284
304.00,0.0763
308.00,0.0234
312.00,0.0560
316.00,0.0648
320.00,0.0840
324.00,0.0852
328.00,0.0032
332.00,0.0764
336.00,0.0000
340.00,0.0194
344.00,0.0449
348.00,0.0000
352.00,0.0433
356.00,0.0593
360.00,0.0744
364.00,0.0479
368.00,0.0965
372.00,0.0687
376.00,0.1032
380.00,0.1237
384.00,0.1704
388.00,0.1400
392.00,0.1866
396.00,0.1749
400.00,0.1624
404.00,0.1320
408.00,0.1850
412.00,0.1334
416.00,0.1404
420.00,0.1958
424.00,0.2183
428.00,0.3512
432.00,0.3579
436.00,0.5143
440.00,0.5540
444.00,0.8114
448.00,1.2800
452.00,1.9869
456.00,3.5851
460.00,6.9440
464.00,9.9837
468.00,6.9064
472.00,3.6274
476.00,1.9954
480.00,1.2408
484.00,0.8637
488.00,0.6290
492.00,0.4681
496.00,0.4027
500.00,0.2624
504.00,0.1953
508.00,0.2400
512.00,0.1680
516.00,0.1262
520.00,0.0522
524.00,0.1335
528.00,0.1152
532.00,0.0581
536.00,0.0834
540.00,0.0923
544.00,0.0183
